province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
MB,Saint Boniface--Saint Vital,46009,0.30799657478987136,0.18380494882987272,0.47208966554633314,0.03610881083392281,0,0.0,LIB,LIB,0.74420771595437685,0.6581612714127532
MB,Provencher,46008,0.5969179584420267,0.15581674003874524,0.20530884524867798,0.04195645627055018,0,0,CON,LIB,0.94137676268109871,0.6164805748300518
AB,Edmonton Centre,48014,0.3629645444914921,0.2729092716456616,0.3232608701139673,0.03594002806359655,0,0.004925285685282301,CON,LIB,0.5630925655793303,0.5757596002244729
ON,Flamborough--Glanbrook,35030,0.4706820835177547,0.13491543790536567,0.32288485258801936,0.070124472503655,0,0.0013931534852053256,CON,LIB,0.72280307832718771,0.6513670613562971
ON,Glengarry--Prescott--Russell,35031,0.34503514777201116,0.11254279703161131,0.5109746048163271,0.03144745038005044,0,0,LIB,LIB,0.74657733954267347,0.6751183522901937
ON,Guelph,35032,0.2586289240164516,0.17318707989018256,0.5058584108583905,0.061372972432402084,0,0.0009526128025732897,LIB,LIB,0.83864835562769469,0.6463379911516054
ON,Haldimand--Norfolk,35033,0.38303113581040216,0.1443153052775995,0.4410959480668258,0.031557610845172404,0,0,LIB,LIB,0.59183166920294294,0.624578373015873
ON,Haliburton--Kawartha Lakes--Brock,35034,0.5083034115704859,0.1795271550092926,0.2572639359567038,0.05490549746351764,0,0,CON,LIB,0.84234874513067948,0.6248614934716304
ON,Hamilton Centre,35035,0.23938720518692397,0.46868803331241077,0.28867746462976157,0.0032472968709036697,0,0,NDP,NDP,0.76425051635178343,0.5062950433887337
ON,Hamilton East--Stoney Creek,35036,0.3163574771185644,0.37876868704002703,0.27155692948560056,0.033316906355808036,0,0,NDP,NDP,0.59856899041906142,0.5704038155802862
ON,Hamilton Mountain,35037,0.27478977233369445,0.37573415047262,0.31659569877821697,0.02953959130373649,0,0.003340787111732103,NDP,NDP,0.59349852002751302,0.6071630918656414
ON,Etobicoke North,35029,0.21062700661209074,0.14396067040486848,0.6442822701558464,0.0011300528271944404,0,0,LIB,LIB,0.95859602611452899,0.5153024492734459
ON,Mississauga Centre,35058,0.30688865565880924,0.12788734982378205,0.5322500980605949,0.032973896456813714,0,0.0,LIB,LIB,0.81632432231200192,0.5561970546070637
